ID,harga jual
590,"0,00"
591,"0,00"
595,"8.744,58"
596,"0,00"
602,"0,00"
603,"0,00"
604,"0,00"
605,"0,00"
606,"0,00"
607,"0,00"
609,"0,00"
610,"0,00"
611,"0,00"
612,"0,00"
613,"0,00"
614,"313.346,89"
615,"0,00"
616,"0,00"
617,"0,00"
619,"20.931,39"
620,"324,89"
622,"15.210,53"
623,"7.123,20"
629,"26.560,57"
630,"0,00"
636,"0,00"
651,"236,38"
652,"156.550,00"
653,"0,00"
654,"0,00"
655,"0,00"
656,"0,00"
657,"0,00"
658,"0,00"
659,"0,00"
663,"0,00"
664,"991,05"
665,"0,00"
666,"0,00"
671,"4.401,94"
677,"0,00"
679,"0,00"
682,"25.019,22"
683,"0,00"
685,"0,00"
686,"0,00"
688,"0,00"
690,"0,00"
691,"0,00"
692,"0,00"
693,"0,00"
694,"0,00"
697,"0,00"
698,"0,00"
700,"0,00"
704,"10.113,78"
705,"10.202,01"
706,"2.383,32"
707,"0,00"
708,"2.567.845,92"
709,"0,00"
710,"3.218,87"
711,"637,59"
712,"0,00"
714,"0,00"
717,"203.150,77"
724,"0,00"
726,"0,00"
727,"0,00"
728,"32.792,18"
729,"4.663,17"
731,"4.328,65"
733,"0,00"
734,"0,00"
735,"0,00"
740,"0,00"
743,"87.445,80"
744,"47.504,51"
746,"0,00"
747,"0,00"
748,"0,00"
749,"0,00"
751,"0,00"
752,"40.191,13"
753,"0,00"
755,"0,00"
756,"0,00"
758,"0,00"
761,"0,00"
762,"659,16"
764,"0,00"
765,"0,00"
766,"0,00"
767,"0,00"
768,"0,00"
769,"0,00"
770,"103.477,53"
773,"0,00"
774,"0,00"
780,"0,00"
781,"0,00"
782,"0,00"
783,"0,00"
784,"0,00"
785,"0,00"
786,"0,00"
787,"2.067,87"
790,"0,00"
791,"42.377,58"
792,"8.015,87"
793,"0,00"
794,"0,00"
795,"0,00"
798,"0,00"
799,"0,00"
800,"0,00"
801,"0,00"
802,"0,00"
813,"0,00"
814,"0,00"
815,"0,00"
816,"0,00"
817,"0,00"
818,"28.817,07"
819,"7.987,84"
820,"0,00"
821,"0,00"
822,"0,00"
823,"130.998,62"
824,"661,55"
825,"0,00"
826,"0,00"
827,"28.702,96"
829,"383.304,09"
830,"0,00"
831,"0,00"
833,"0,00"
834,"14.910,63"
837,"16.628,76"
838,"0,00"
839,"0,00"
840,"0,00"
841,"0,00"
842,"0,00"
844,"0,00"
845,"0,00"
846,"146.124,17"
847,"59.698,58"
850,"0,00"
851,"1.609,00"
852,"0,00"
853,"109.167,11"
854,"3.060,60"
856,"0,00"
857,"0,00"
858,"37.735,82"
859,"0,00"
861,"0,00"
862,"65.584,35"
863,"89.463,78"
864,"9.443,40"
865,"0,00"
866,"7.567,43"
867,"0,00"
868,"291,49"
869,"760,44"
870,"0,00"
872,"0,00"
873,"0,00"
874,"0,00"
875,"4.814,34"
877,"130.671,77"
882,"119.509,26"
883,"0,00"
884,"0,00"
885,"0,00"
886,"390,59"
887,"0,00"
890,"0,00"
891,"0,00"
892,"728,72"
895,"0,00"
896,"39.569,22"
897,"0,00"
898,"17.662,70"
899,"0,00"
900,"0,00"
901,"0,00"
903,"0,00"
905,"0,00"
906,"0,00"
907,"0,00"
908,"0,00"
909,"0,00"
910,"0,00"
911,"447,32"
912,"0,00"
913,"0,00"
914,"279.574,31"
915,"0,00"
916,"0,00"
917,"13.635,00"
918,"0,00"
919,"0,00"
920,"0,00"
921,"0,00"
922,"0,00"
923,"0,00"
924,"0,00"
925,"0,00"
926,"33.548,92"
928,"45.222,55"
930,"0,00"
931,"0,00"
932,"0,00"
933,"0,00"
934,"910,90"
935,"107.088,14"
936,"0,00"
939,"0,00"
944,"2.914,86"
945,"0,00"
948,"610,49"
949,"1.676,04"
950,"90.876,37"
951,"0,00"
952,"0,00"
953,"0,00"
954,"0,00"
955,"67.302,66"
956,"0,00"
957,"0,00"
958,"0,00"
959,"0,00"
960,"77.776,31"
961,"0,00"
962,"0,00"
966,"0,00"
967,"0,00"
968,"0,00"
969,"142.702,72"
970,"0,00"
971,"0,00"
973,"6.863,36"
974,"0,00"
983,"0,00"
984,"0,00"
989,"0,00"
990,"0,00"
991,"0,00"
992,"0,00"
993,"0,00"
995,"0,00"
997,"0,00"
1000,"0,00"
1001,"0,00"
1002,"611.335,83"
1003,"357.855,12"
1004,"0,00"
1005,"0,00"
1006,"0,00"
1007,"0,00"
1008,"3.109,37"
1010,"32.348,22"
1011,"0,00"
1012,"21.861,45"
1014,"3.446,82"
1015,"0,00"
1016,"8.245,76"
1017,"0,00"
1020,"0,00"
1021,"0,00"
1022,"0,00"
1023,"0,00"
1025,"0,00"
1026,"0,00"
1030,"0,00"
1032,"0,00"
1033,"0,00"
1034,"0,00"
1035,"0,00"
1037,"0,00"
1038,"0,00"
1039,"0,00"
1040,"0,00"
1041,"0,00"
1042,"0,00"
1045,"0,00"
1047,"0,00"
1050,"0,00"
1051,"5.611,11"
1057,"0,00"
1059,"0,00"
1064,"0,00"
1067,"0,00"
1069,"6.262,46"
1071,"0,00"
1076,"0,00"
1077,"0,00"
1078,"0,00"
1079,"4.233,13"
1080,"0,00"
1081,"0,00"
1099,"0,00"
1100,"0,00"
1102,"0,00"
1105,"0,00"
1106,"0,00"
1109,"7.021,11"
1112,"69.140,48"
1114,"0,00"
1115,"0,00"
1116,"0,00"
